0,[6. 1.]
1,[4. 6.]
2,[3. 1.]
3,[0. 0.]
4,[3. 0.]
5,[1. 0.]
6,[0. 2.]
7,[0. 2.]
8,[3. 4.]
9,[3. 1.]
10,[ 3. 13.]
11,[1. 0.]
12,[1. 2.]
13,[0. 2.]
14,[0. 1.]
15,[0. 0.]
16,[1. 0.]
17,[4. 0.]
18,[8. 4.]
19,[4. 1.]
20,[0. 2.]
21,[1. 0.]
22,[0. 2.]
23,[1. 2.]
24,[1. 4.]
25,[8. 9.]
26,[1. 0.]
27,[8. 7.]
28,[0. 0.]
29,[4. 2.]
30,[1. 0.]
31,[0. 1.]
32,[4. 3.]
33,[1. 1.]
34,[3. 4.]
35,[4. 3.]
36,[0. 0.]
37,[2. 1.]
38,[4. 6.]
39,[1. 0.]
40,[1. 0.]
41,[1. 0.]
42,[ 9. 11.]
43,[3. 6.]
44,[0. 2.]
45,[5. 1.]
46,[0. 1.]
47,[11. 11.]
48,[1. 0.]
49,[1. 1.]
50,[0. 1.]
51,[3. 6.]
52,[1. 0.]
53,[3. 3.]
54,[0. 0.]
55,[1. 0.]
56,[1. 2.]
57,[1. 0.]
58,[1. 2.]
59,[0. 0.]
60,[6. 0.]
61,[0. 1.]
62,[0. 3.]
63,[0. 0.]
64,[2. 3.]
65,[2. 0.]
66,[0. 1.]
67,[7. 3.]
68,[2. 6.]
69,[0. 2.]
70,[2. 0.]
71,[3. 3.]
72,[0. 2.]
73,[4. 6.]
74,[0. 2.]
75,[2. 3.]
76,[2. 1.]
77,[0. 2.]
78,[2. 3.]
79,[2. 1.]
80,[2. 1.]
81,[5. 2.]
82,[1. 1.]
83,[1. 1.]
84,[30. 24.]
85,[0. 0.]
86,[7. 8.]
87,[1. 3.]
88,[2. 0.]
89,[3. 3.]
90,[7. 2.]
91,[9. 5.]
92,[2. 6.]
93,[4. 1.]
94,[0. 0.]
95,[0. 0.]
96,[1. 0.]
97,[2. 5.]
98,[1. 4.]
99,[4. 3.]
100,[0. 4.]
101,[0. 2.]
102,[3. 0.]
103,[3. 4.]
104,[0. 0.]
105,[2. 1.]
106,[1. 2.]
107,[0. 1.]
108,[0. 0.]
109,[1. 0.]
110,[2. 1.]
111,[1. 1.]
112,[2. 1.]
113,[3. 3.]
114,[0. 2.]
115,[0. 0.]
116,[2. 0.]
117,[6. 3.]
118,[0. 2.]
119,[2. 0.]
120,[2. 9.]
121,[0. 2.]
122,[1. 1.]
123,[0. 3.]
124,[0. 1.]
125,[2. 2.]
126,[1. 1.]
127,[2. 1.]
128,[1. 0.]
129,[0. 0.]
130,[0. 1.]
131,[4. 2.]
132,[ 8. 12.]
133,[4. 5.]
134,[1. 1.]
135,[4. 3.]
136,[0. 1.]
137,[0. 1.]
138,[1. 3.]
139,[0. 3.]
140,[2. 1.]
141,[2. 1.]
142,[1. 1.]
143,[4. 1.]
144,[0. 0.]
145,[1. 2.]
146,[1. 1.]
147,[8. 3.]
148,[4. 2.]
149,[1. 3.]
150,[1. 0.]
151,[9. 7.]
152,[13. 21.]
153,[3. 2.]
154,[0. 2.]
155,[3. 3.]
156,[1. 3.]
157,[3. 2.]
158,[1. 1.]
159,[1. 2.]
160,[1. 0.]
161,[2. 8.]
162,[0. 5.]
163,[3. 0.]
164,[0. 2.]
165,[2. 7.]
166,[0. 0.]
167,[1. 0.]
168,[0. 0.]
169,[1. 0.]
170,[2. 2.]
171,[0. 0.]
172,[2. 0.]
173,[1. 2.]
174,[4. 0.]
175,[2. 0.]
176,[3. 0.]
177,[0. 0.]
178,[2. 4.]
179,[2. 1.]
180,[6. 3.]
181,[0. 2.]
182,[3. 7.]
183,[1. 2.]
184,[2. 1.]
185,[0. 0.]
186,[1. 2.]
187,[3. 7.]
188,[0. 2.]
189,[3. 4.]
190,[0. 1.]
191,[0. 0.]
192,[1. 1.]
193,[1. 0.]
194,[4. 3.]
195,[2. 2.]
196,[1. 1.]
197,[3. 1.]
198,[3. 1.]
199,[0. 0.]
200,[2. 4.]
201,[5. 1.]
202,[1. 1.]
203,[0. 1.]
204,[3. 1.]
205,[3. 1.]
206,[3. 3.]
207,[7. 2.]
208,[0. 0.]
209,[0. 1.]
210,[1. 0.]
211,[0. 0.]
212,[1. 2.]
213,[2. 0.]
214,[11. 13.]
215,[0. 5.]
216,[1. 7.]
217,[6. 3.]
218,[1. 1.]
219,[2. 2.]
220,[0. 1.]
221,[1. 1.]
222,[1. 0.]
223,[2. 4.]
224,[4. 4.]
225,[0. 1.]
226,[2. 0.]
227,[2. 0.]
228,[0. 0.]
229,[0. 1.]
230,[4. 0.]
231,[ 6. 12.]
232,[11.  8.]
233,[0. 1.]
234,[3. 3.]
235,[3. 1.]
236,[3. 2.]
237,[1. 1.]
238,[3. 0.]
239,[0. 1.]
240,[4. 1.]
241,[0. 1.]
242,[0. 1.]
243,[1. 1.]
244,[0. 0.]
245,[0. 2.]
246,[1. 1.]
247,[2. 2.]
248,[0. 1.]
249,[0. 0.]
250,[0. 0.]
251,[6. 3.]
252,[2. 0.]
253,[0. 0.]
254,[2. 2.]
255,[1. 1.]
256,[2. 1.]
257,[5. 4.]
258,[0. 0.]
259,[2. 1.]
260,[9. 4.]
261,[0. 0.]
262,[6. 3.]
263,[0. 1.]
264,[1. 4.]
265,[3. 0.]
266,[1. 1.]
267,[1. 1.]
268,[2. 0.]
269,[1. 2.]
270,[ 6. 16.]
271,[0. 3.]
272,[3. 5.]
273,[0. 0.]
274,[0. 2.]
275,[11. 39.]
276,[ 3. 11.]
277,[1. 2.]
278,[1. 4.]
279,[7. 4.]
280,[1. 4.]
281,[1. 1.]
282,[1. 0.]
283,[0. 0.]
284,[0. 1.]
285,[1. 0.]
286,[4. 3.]
287,[7. 1.]
288,[0. 1.]
289,[2. 0.]
290,[0. 0.]
291,[11.  7.]
292,[1. 2.]
293,[2. 0.]
294,[2. 2.]
295,[1. 4.]
296,[1. 0.]
297,[5. 5.]
298,[1. 3.]
299,[3. 3.]
300,[1. 0.]
301,[0. 3.]
302,[0. 2.]
303,[0. 0.]
304,[7. 2.]
305,[1. 0.]
306,[0. 0.]
307,[ 5. 12.]
308,[2. 0.]
309,[1. 5.]
310,[0. 0.]
311,[4. 5.]
312,[1. 0.]
313,[3. 0.]
314,[2. 2.]
315,[0. 4.]
316,[1. 1.]
317,[1. 5.]
318,[1. 0.]
319,[0. 1.]
320,[2. 3.]
321,[1. 4.]
322,[1. 2.]
323,[0. 1.]
324,[5. 3.]
325,[8. 4.]
326,[1. 0.]
327,[0. 0.]
328,[1. 2.]
329,[0. 1.]
330,[2. 0.]
331,[1. 1.]
332,[0. 2.]
333,[0. 1.]
334,[2. 1.]
335,[1. 0.]
336,[2. 0.]
337,[ 6. 10.]
338,[11.  4.]
339,[3. 2.]
340,[4. 1.]
341,[11. 12.]
342,[0. 2.]
343,[1. 6.]
344,[3. 0.]
345,[0. 3.]
346,[2. 2.]
347,[4. 0.]
348,[3. 7.]
349,[0. 0.]
350,[0. 0.]
351,[4. 3.]
352,[0. 1.]
353,[1. 1.]
354,[1. 3.]
355,[0. 0.]
356,[0. 4.]
357,[2. 2.]
358,[2. 8.]
359,[4. 1.]
360,[2. 1.]
361,[0. 0.]
362,[0. 4.]
363,[2. 1.]
364,[2. 0.]
365,[0. 1.]
366,[2. 0.]
367,[4. 1.]
368,[3. 1.]
369,[1. 0.]
370,[8. 5.]
371,[9. 7.]
372,[1. 1.]
373,[8. 8.]
374,[1. 0.]
375,[1. 0.]
376,[2. 0.]
377,[0. 1.]
378,[7. 2.]
379,[2. 1.]
380,[0. 0.]
381,[0. 0.]
382,[0. 0.]
383,[0. 3.]
384,[2. 0.]
385,[0. 1.]
386,[0. 1.]
387,[1. 0.]
388,[1. 1.]
389,[ 2. 12.]
390,[0. 3.]
391,[0. 0.]
392,[0. 0.]
393,[1. 1.]
394,[2. 1.]
395,[2. 5.]
396,[1. 1.]
397,[1. 1.]
398,[4. 8.]
399,[2. 0.]
400,[7. 1.]
401,[3. 2.]
402,[7. 6.]
403,[0. 3.]
404,[1. 5.]
405,[1. 0.]
406,[ 6. 11.]
407,[1. 6.]
408,[2. 0.]
409,[9. 1.]
410,[0. 0.]
411,[3. 1.]
412,[0. 0.]
413,[4. 5.]
414,[ 6. 12.]
415,[1. 0.]
416,[0. 4.]
417,[1. 0.]
418,[0. 2.]
419,[0. 1.]
420,[0. 0.]
421,[3. 7.]
422,[11. 10.]
423,[3. 3.]
424,[0. 7.]
425,[8. 8.]
426,[0. 4.]
427,[4. 3.]
428,[4. 2.]
429,[0. 0.]
430,[ 5. 16.]
431,[3. 0.]
432,[0. 0.]
433,[0. 0.]
434,[0. 0.]
435,[7. 6.]
436,[8. 4.]
437,[1. 2.]
438,[4. 2.]
439,[2. 1.]
440,[1. 1.]
441,[4. 4.]
442,[4. 9.]
443,[0. 0.]
444,[3. 5.]
445,[2. 1.]
446,[1. 6.]
447,[8. 0.]
448,[16. 14.]
449,[0. 3.]
450,[4. 5.]
451,[1. 0.]
452,[2. 0.]
453,[1. 0.]
454,[0. 3.]
455,[7. 3.]
456,[3. 5.]
457,[6. 1.]
458,[2. 4.]
459,[1. 2.]
460,[1. 0.]
461,[1. 1.]
462,[4. 4.]
463,[1. 1.]
464,[3. 4.]
465,[1. 1.]
466,[1. 3.]
467,[0. 1.]
468,[7. 5.]
469,[59. 36.]
470,[0. 0.]
471,[3. 4.]
472,[4. 3.]
473,[0. 2.]
474,[0. 3.]
475,[0. 1.]
476,[2. 2.]
477,[1. 0.]
478,[2. 0.]
479,[0. 0.]
480,[21. 12.]
481,[0. 1.]
482,[3. 1.]
483,[17. 17.]
484,[3. 4.]
485,[2. 0.]
486,[3. 0.]
487,[5. 6.]
488,[1. 2.]
489,[2. 0.]
490,[1. 0.]
491,[0. 1.]
492,[8. 3.]
493,[6. 1.]
494,[3. 3.]
495,[3. 2.]
496,[7. 3.]
497,[2. 2.]
498,[14.  8.]
499,[5. 0.]
500,[14.  7.]
501,[0. 0.]
502,[1. 3.]
503,[0. 2.]
504,[ 4. 14.]
505,[3. 4.]
506,[1. 3.]
507,[ 8. 15.]
508,[3. 0.]
509,[0. 0.]
510,[1. 0.]
511,[6. 2.]
512,[2. 0.]
513,[0. 1.]
514,[0. 0.]
515,[0. 0.]
516,[1. 0.]
517,[5. 3.]
518,[2. 0.]
519,[4. 1.]
520,[10.  5.]
521,[9. 6.]
522,[1. 2.]
523,[1. 1.]
524,[0. 1.]
525,[1. 0.]
526,[2. 1.]
527,[24. 33.]
528,[4. 3.]
529,[1. 2.]
530,[2. 1.]
531,[3. 1.]
532,[6. 1.]
533,[6. 7.]
534,[45. 30.]
535,[2. 0.]
536,[1. 2.]
537,[2. 3.]
538,[2. 8.]
539,[2. 0.]
540,[1. 0.]
541,[3. 3.]
542,[2. 2.]
543,[0. 0.]
544,[0. 0.]
545,[2. 1.]
546,[3. 7.]
547,[1. 3.]
548,[1. 6.]
549,[0. 0.]
550,[1. 3.]
551,[5. 1.]
552,[4. 3.]
553,[1. 0.]
554,[3. 7.]
555,[2. 2.]
556,[8. 8.]
557,[0. 1.]
558,[1. 7.]
559,[2. 2.]
560,[0. 2.]
561,[ 2. 11.]
562,[2. 1.]
563,[0. 0.]
564,[7. 1.]
565,[1. 0.]
566,[2. 0.]
567,[2. 0.]
568,[1. 0.]
569,[14.  7.]
570,[1. 0.]
571,[0. 0.]
572,[1. 3.]
573,[0. 0.]
574,[5. 8.]
575,[1. 3.]
576,[1. 0.]
577,[1. 4.]
578,[6. 4.]
579,[0. 0.]
580,[0. 0.]
581,[1. 2.]
582,[1. 1.]
583,[0. 1.]
584,[2. 1.]
585,[1. 0.]
586,[3. 5.]
587,[1. 1.]
588,[4. 2.]
589,[14.  4.]
590,[0. 0.]
591,[0. 0.]
592,[0. 0.]
593,[2. 5.]
594,[0. 0.]
595,[0. 1.]
596,[0. 0.]
597,[5. 3.]
598,[0. 0.]
599,[2. 0.]
600,[0. 8.]
601,[0. 0.]
602,[10.  9.]
603,[1. 0.]
604,[1. 0.]
605,[1. 3.]
606,[4. 0.]
607,[1. 0.]
608,[4. 3.]
609,[0. 2.]
610,[0. 1.]
611,[1. 0.]
612,[0. 4.]
613,[0. 2.]
614,[0. 1.]
615,[4. 6.]
616,[0. 1.]
617,[4. 1.]
618,[0. 2.]
619,[2. 0.]
620,[1. 3.]
621,[2. 2.]
622,[1. 1.]
623,[0. 1.]
624,[ 3. 10.]
625,[0. 3.]
626,[0. 4.]
627,[1. 1.]
628,[1. 1.]
629,[5. 2.]
630,[1. 0.]
631,[3. 3.]
632,[0. 0.]
633,[14.  8.]
634,[1. 2.]
635,[5. 4.]
636,[4. 0.]
637,[2. 4.]
638,[0. 1.]
639,[1. 1.]
640,[0. 2.]
641,[0. 1.]
642,[1. 0.]
643,[6. 5.]
644,[2. 1.]
645,[4. 2.]
646,[2. 0.]
647,[1. 1.]
648,[1. 8.]
649,[5. 2.]
650,[3. 0.]
651,[9. 8.]
652,[ 7. 13.]
653,[1. 1.]
654,[0. 0.]
655,[0. 0.]
656,[ 9. 11.]
657,[3. 3.]
658,[1. 3.]
659,[1. 0.]
660,[2. 1.]
661,[6. 4.]
662,[1. 0.]
663,[0. 0.]
664,[1. 1.]
665,[0. 3.]
666,[5. 1.]
667,[1. 0.]
668,[3. 0.]
669,[0. 6.]
670,[2. 2.]
671,[0. 0.]
672,[2. 1.]
673,[1. 4.]
674,[3. 3.]
675,[3. 5.]
676,[1. 0.]
677,[0. 0.]
678,[1. 0.]
679,[1. 0.]
680,[4. 0.]
681,[1. 1.]
682,[1. 0.]
683,[2. 3.]
684,[2. 0.]
685,[1. 2.]
686,[5. 2.]
687,[1. 0.]
688,[ 5. 15.]
689,[0. 1.]
690,[2. 7.]
691,[0. 2.]
692,[0. 3.]
693,[0. 0.]
694,[0. 1.]
695,[0. 0.]
696,[0. 0.]
697,[3. 1.]
698,[0. 1.]
699,[3. 1.]
700,[0. 0.]
701,[0. 1.]
702,[1. 1.]
703,[0. 0.]
704,[5. 6.]
705,[1. 0.]
706,[2. 0.]
707,[1. 5.]
708,[0. 4.]
709,[2. 0.]
710,[0. 2.]
711,[2. 0.]
712,[0. 2.]
713,[7. 0.]
714,[1. 2.]
715,[0. 0.]
716,[0. 0.]
717,[0. 2.]
718,[7. 5.]
719,[2. 1.]
720,[0. 3.]
721,[0. 0.]
722,[1. 1.]
723,[4. 1.]
724,[1. 2.]
725,[0. 1.]
726,[1. 0.]
727,[3. 4.]
728,[2. 1.]
729,[1. 0.]
730,[0. 0.]
731,[4. 0.]
732,[5. 1.]
733,[2. 1.]
